,tweet,tweet_preprocessing,sentimen
0,"kak, maaf atas kendalanya ya kak. bella bantu kendala kakak melalui inbox ya kak, silakan kakakâ€¦",kak maaf kendalanya ya kak bella bantu kendala kakak inbox ya kak silakan kakakâ ,negatif
1,"follow yuk, karena byk hadiah menanti kalian guys",follow yuk byk hadiah guys,positif
2,"baik kak, maaf atas kendalanya ya kak. bella bantu kendala kakak melalui inbox ya kak, silakan kakak\",kak maaf kendalanya ya kak bella bantu kendala kakak inbox ya kak silakan kakak ,negatif
3,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
4,"tolong nomor dana saya hangus, ingin memutus akun dana",tolong nomor dana hangus memutus akun dana,negatif
5,baru saja tadi belanja di dan pengiriman pakai jasa terimakasih jnt,belanja pengiriman pakai jasa terimakasih jnt,positif
6,malam min itu knp ga bisa login ya? padhal udah bener semua sms kode juga bener tapi gagalâ€¦,malam min knp ga login ya padhal udah bener sms kode bener gagalâ ,negatif
7,tolong di balas dmnya yaa,tolong balas dmnya yaa,negatif
8,"hi kak, maaf atas kendalanya ya kak. bella bantu melalui inbox ya kak kendalanya, silakan kakak cek kembali inbox kakak. ^-",hi kak maaf kendalanya ya kak bella bantu inbox ya kak kendalanya silakan kakak cek inbox kakak ,negatif
9,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
10,dulu pernah kejadian tapi bukan di shopee tapi di bukalapak dan bisa di balikin akunku,kejadian shopee bukalapak balikin akunku,negatif
11,"hallo saya membeli pelatihan prakerja di bukalapak, dan sudah menyelesaikan pelatihan saya di skill aâ€¦",hallo membeli pelatihan prakerja bukalapak menyelesaikan pelatihan skill aâ ,positif
12,"free!!pake link ini untuk belanja di shopee ,bukalapak ,lazada,",free pake link belanja shopee bukalapak lazada ,positif
13,ada yang ngasih kamu emas nih! ambil hadiah emasnya sekarang:,ngasih emas nih ambil hadiah emasnya ,positif
14,"hi selamat kamu terpilih sebagai pemenang kuis, cek dm kamu ya!",hi selamat terpilih pemenang kuis cek dm ya ,positif
15,saya beli buka mas rb yang masuk saldo kok tinggal . sisanya kemana,beli buka mas rb masuk saldo tinggal sisanya kemana,negatif
16,mohon agar menjadi perhatian tiket komplain pencurian foto dengan watermark agar dapat sege\,mohon perhatian tiket komplain pencurian foto watermark sege ,negatif
17,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,netral
18,hai kak. mohon maaf atas kendala yang dialami. terkait kendala kakak bisa diinfokan ke bella lewat dm ya kak. :) ^ar,hai kak mohon maaf kendala dialami terkait kendala kakak diinfokan bella dm ya kak ar,negatif
19,"hai kak, maaf atas kendalanya ya. dapat bella diinfokan detail kendala kamu melalui dm ya kak, mohon diâ€¦",hai kak maaf kendalanya ya bella diinfokan detail kendala dm ya kak mohon diâ ,negatif
20,nokia c juga sudah tersedia di toko resmi nokia mobile di bukalapak ya!,nokia c tersedia toko resmi nokia mobile bukalapak ya ,positif
21,"hai kak, maaf banget atas kendala kamu ya. mohon dapat diinfokan ke bella nomor transaksi, alamat eâ€¦",hai kak maaf banget kendala ya mohon diinfokan bella nomor transaksi alamat eâ ,negatif
22,"hai kak, maaf banget atas kendala kamu ya. mohon dapat diinfokan ke bella nomor transaksi, alamat e\",hai kak maaf banget kendala ya mohon diinfokan bella nomor transaksi alamat e ,negatif
23,"promo paket bundling ini berlaku untuk pembelian di marketplace shopee, tokopedia, bukalapak, dan instagram.",promo paket bundling berlaku pembelian marketplace shopee tokopedia bukalapak instagram ,positif
24,salam. mohon dibantu no transaksi: agar dana dr transaksi masuk ke dompet bl sy krn pktâ€¦,salam mohon dibantu no transaksi dana dr transaksi masuk dompet bl sy krn pktâ ,negatif
25,salam. mohon dibantu no transaksi: agar dana dr transaksi masuk ke dompet bl sy krn pkt\,salam mohon dibantu no transaksi dana dr transaksi masuk dompet bl sy krn pkt ,negatif
26,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
27,diskon rb minimal rb di bukalapak bayar pake dana,diskon rb minimal rb bukalapak bayar pake dana,positif
28,"biar belanja kamu makin hemat, jangan lupa pake voucher dari bank mandiri nih, lumayan banget ada voucher ongkir rpâ€¦",biar belanja hemat lupa pake voucher bank mandiri nih lumayan banget voucher ongkir rpâ ,positif
29,"chat terus, ga dijawab malah ganti cs , pada tidur atau gimana cs nya?",chat ga ganti cs tidur gimana cs nya ,negatif
30,"hai kak maaf atas kendala kamu ya, mohon infokan ke bella secara detail terkait kendala kamu ya, dan infâ€¦",hai kak maaf kendala ya mohon infokan bella detail terkait kendala ya infâ ,negatif
31,yang mau order pomade bisa langsung &gt;&gt;&gt; bukalapak,order pomade langsung gt gt gt bukalapak,positif
32,"maaf atas kendala kamu ya kak, mohon infoin ke bella via dm nomor transaksinya, bukti resi fisik, daâ€¦",maaf kendala ya kak mohon infoin bella via dm nomor transaksinya bukti resi fisik daâ ,negatif
33,"mau invest emas di bukalapak, baru ada rupiah",invest emas bukalapak rupiah,positif
34,"hai kak maaf atas kendalanya ya, yuk dm bella untuk infoin detail kendala kamu ya kak. :) ^bdp",hai kak maaf kendalanya ya yuk dm bella infoin detail kendala ya kak bdp,negatif
35,"ww banyak juga ya, nih kamu berkesempatan menangin total hadiah jt, caranya gampang banget, top up produk virtuaâ€¦",ww ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtuaâ ,positif
36,paling mudah &amp; praktis lwt e-commerce spt bukalapak &amp; tokopedia,mudah amp praktis lwt e commerce spt bukalapak amp tokopedia,positif
37,"siapapun yg baca ini sebaiknya pikir lg kalo beli pelatihan disini, slama ini sy rekomen ke org utk be\",yg baca pikir lg kalo beli pelatihan slama sy rekomen org utk be ,negatif
38,terimakasih,terimakasih,positif
39,gimana nih kok belum di bales dm nya kak,gimana nih bales dm nya kak,negatif
40,"di bukalapak, kamu juga bisa beli tiket untuk bepergian, loh!",bukalapak beli tiket bepergian loh ,positif
41,sekarang belanja bisa bayar di tempat,belanja bayar,positif
42,mau investasi reksadana dan emas di bukalapak. ayo dong bantu.,investasi reksadana emas bukalapak ayo bantu ,positif
43,ini dapet gratisan dari bl ya ðÿ˜­ðÿ˜­,dapet gratisan bl ya ðÿ ðÿ ,positif
44,mau investasi reksadana dan emas di bukalapak. ayo dong bantu.,investasi reksadana emas bukalapak ayo bantu ,positif
45,ini dapet gratisan dari bl ya ????,dapet gratisan bl ya ,netral
46,lanjutan mksdnya gimana woy! yang bener no tiket laporan sy yg mana skrng ada hdeh jancok gaj jelasâ€¦,lanjutan mksdnya gimana woy bener no tiket laporan sy yg skrng hdeh jancok gaj jelasâ ,negatif
47,mau beli reksadana dan emas di bukalapak,beli reksadana emas bukalapak,positif
48,"hai kak, kendala kamu sudah bella konfirmasi melalui dm ya kak. yuk pindak ke dm kak. :) ^nt",hai kak kendala bella konfirmasi dm ya kak yuk pindak dm kak nt,negatif
49,"netijen, please do your magic. bantu jualan gue di bukalapak yuk, belinya di sini:",netijen please do your magic bantu jualan gue bukalapak yuk belinya ,netral
50,buat nabung emas aja aku udah..,nabung emas aja udah ,positif
51,belom bisa bayar angsuran fif ya?,belom bayar angsuran fif ya ,netral
52,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
53,"hai kak, maaf banget buat kamu nggak nyaman ya kak. perihal kendala kamu sudah bella konfirmasi melalâ€¦",hai kak maaf banget nggak nyaman ya kak perihal kendala bella konfirmasi melalâ ,negatif
54,aplikasi gak jelas! kmren ni tiket brubah kali di dm tadi brubah lagi ditanya cs aplikasiâ€¦,aplikasi gak kmren ni tiket brubah kali dm brubah cs aplikasiâ ,negatif
55,aplikasi gak jelas! kmren ni tiket brubah kali di dm tadi brubah lagi ditanya cs aplikasi\,aplikasi gak kmren ni tiket brubah kali dm brubah cs aplikasi ,negatif
56,"akhirnya selesai juga bintek, dan sudah verifikasi di bukalapak tinggal shopee dan blibli ????",selesai bintek verifikasi bukalapak tinggal shopee blibli ,netral
57,"jadi bersyukur ada shopee, bukalapak, tokped, dsj yang langsung ada harganya.",bersyukur shopee bukalapak tokped dsj langsung harganya ,positif
58,"hai kak, kendala kamu sudah bella konfirmasi melalui dm ya kak. yuk cek dm kamu terlebih dahulu kak. :) ^nt",hai kak kendala bella konfirmasi dm ya kak yuk cek dm kak nt,negatif
59,"hai kak, kendala kamu sudah bella konfirmasi melalui dm ya kak. yuk cek dm kamu terlebih dahulu kak. :) ^nt",hai kak kendala bella konfirmasi dm ya kak yuk cek dm kak nt,negatif
60,"shopee, tokopedia, bukalapak, lazada bintang iklan sama konsep iklan nya mahal mahal semua bangsat",shopee tokopedia bukalapak lazada bintang iklan konsep iklan nya mahal mahal bangsat,negatif
61,"shopee, tokopedia, bukalapak, lazada bintang iklan sama konsep iklan nya mahal mahal semua bangsat",shopee tokopedia bukalapak lazada bintang iklan konsep iklan nya mahal mahal bangsat,negatif
62,"buka dm dong min, ga di respon terus kek doi:))",buka dm min ga respon kek doi ,negatif
63,mohon bantuannya. sy pesan barang dari pelapak stuff station (id transaksi:â ) tgl /. pelaâ€¦,mohon bantuannya sy pesan barang pelapak stuff station id transaksi â tgl pelaâ ,negatif
64,mohon bantuannya. sy pesan barang dari pelapak stuff station (id transaksi:\a) tgl /. pela\,mohon bantuannya sy pesan barang pelapak stuff station id transaksi a tgl pela ,negatif
65,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
66,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
