,tweet_preprocessing
0,kak maaf kendalanya ya kak bella bantu kendala kakak inbox ya kak silakan 
1,follow yuk byk hadiah guys
2,kak maaf kendalanya ya kak bella bantu kendala kakak inbox ya kak silakan kakak 
3,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
4,tolong nomor dana hangus memutus akun dana
5,belanja pengiriman pakai jasa terimakasih jnt
6,malam min knp ga login ya padahal udah bener sms kode bener gagal 
7,tolong balas dmnya yaa
8,hi kak maaf kendalanya ya kak bella bantu inbox ya kak kendalanya silakan kakak cek inbox kakak 
9,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks berlaku 
10,kejadian shopee bukalapak balikin akunku
11,hallo membeli pelatihan prakerja bukalapak menyelesaikan pelatihan skill  
12,free pake link belanja shopee bukalapak lazada 
13,ngasih emas nih ambil hadiah emasnya 
14,hi selamat terpilih pemenang kuis cek dm ya 
15,beli buka mas rb masuk saldo tinggal sisanya kemana
16,mohon perhatian tiket komplain pencurian foto watermark sege 
17,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll
18,hai kak mohon maaf kendala dialami terkait kendala kakak diinfokan bella dm ya kak 
19,hai kak maaf kendalanya ya bella diinfokan detail kendala dm ya kak mohon di 
20,nokia c tersedia toko resmi nokia mobile bukalapak ya 
21,hai kak maaf banget kendala ya mohon diinfokan bella nomor transaksi alamat  
22,hai kak maaf banget kendala ya mohon diinfokan bella nomor transaksi alamat  
23,promo paket bundling berlaku pembelian marketplace shopee tokopedia bukalapak instagram 
24,salam mohon dibantu no transaksi dana dr transaksi masuk dompet bl sy krn pkt 
25,salam mohon dibantu no transaksi dana dr transaksi masuk dompet bl sy krn pkt 
26,cek perlengkapan butuhkan harganya terbaik 
27,diskon rb minimal rb bukalapak bayar pake dana
28,biar belanja hemat lupa pake voucher bank mandiri nih lumayan banget voucher ongkir rp 
29,chat ga ganti cs tidur gimana cs nya 
30,hai kak maaf kendala ya mohon infokan bella detail terkait kendala ya info 
31,order pomade langsung gt gt gt bukalapak
32,maaf kendala ya kak mohon infoin bella via dm nomor transaksinya bukti resi fisik da 
33,invest emas bukalapak rupiah
34,hai kak maaf kendalanya ya yuk dm bella infoin detail kendala ya kak bdp
35,ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtual 
36,mudah amp praktis lwt e commerce spt bukalapak amp tokopedia
37,yg baca pikir lg kalo beli pelatihan slama sy rekomen org utk be 
38,terimakasih
39,gimana nih bales dm nya kak
40,bukalapak beli tiket bepergian loh 
41,belanja bayar
42,investasi reksadana emas bukalapak ayo bantu 
43,dapet gratisan bl ya  
44,investasi reksadana emas bukalapak ayo bantu 
45,dapet gratisan bl ya 
46,lanjutan mksdnya gimana woy bener no tiket laporan sy yg skrng hdeh jancok gaj jelas 
47,beli reksadana emas bukalapak
48,hai kak kendala bella konfirmasi dm ya kak yuk pindak dm kak nt
49,netijen please do your magic bantu jualan gue bukalapak yuk belinya 
50,nabung emas aja udah 
51,belom bayar angsuran fif ya 
52,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku 
53,hai kak maaf banget nggak nyaman ya kak perihal kendala bella konfirmasi  
54,aplikasi gak kmren ni tiket brubah kali dm brubah cs aplikasi
55,aplikasi gak kmren ni tiket brubah kali dm brubah cs aplikasi 
56,selesai bintek verifikasi bukalapak tinggal shopee blibli 
57,bersyukur shopee bukalapak tokped dsj langsung harganya 
58,hai kak kendala bella konfirmasi dm ya kak yuk cek dm kak nt
59,hai kak kendala bella konfirmasi dm ya kak yuk cek dm kak nt
60,shopee tokopedia bukalapak lazada bintang iklan konsep iklan nya mahal mahal bangsat
61,shopee tokopedia bukalapak lazada bintang iklan konsep iklan nya mahal mahal bangsat
62,buka dm min ga respon kek doi 
63,mohon bantuannya sy pesan barang pelapak stuff station id transaksi  
64,mohon bantuannya sy pesan barang pelapak stuff station id transaksi a tgl pela 
65,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
66,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
67,iyaa duls shopee tokped udah mitra pegadaian kalo bukaemas 
68,bukalapak  emang  cincai  harga  santai  kagak  lebay  dinego aje say   
69,bukalapak emang cincai harga santai kagak lebay dinego aje say say 
70,hai kak maaf banget ya udah bikin kakak gak nyaman terkait kendala kakak nomor transaksi xxâ 
71,hai kak maaf banget ya udah bikin kakak gak nyaman terkait kendala kakak nomor transaksi xx 
72,terimakasih admin cakep hati kirim pesan pelapak dihiraukan 
73,bukalapak cincau harga santai kagak lebay dinego aje sayy sayy 
74,yuk langsung aja kepoin marketplace gopayless tersedia tokopedia bukalapak shopee blibli 
75,yuk langsung aja kepoin marketplace gopayless tersedia tokopedia bukalapak shopee blibli 
76,biar belanja nyaman yuk top up bni tapcash bukalapak dapatkan cashbacknya cuss yuâ 
77,biar belanja nyaman yuk top up bni tapcash bukalapak dapatkan cashbacknya cuss yu 
78,bukalapak ovo skil academy tolong pusing 
79,buku das kapital ribu bukalapak udah buku 
80,buku das kapital ribu bukalapak udah buku 
81,rekening sih gk keterangan bank ak klo nabung top up alfa klo g 
